Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.48     0.00       15     0.00     0.00  sigma_
  0.00      5.48     0.00       14     0.00     0.00  fourpi_
  0.00      5.48     0.00       12     0.00     0.00  fnndpi_
  0.00      5.48     0.00       12     0.00     0.00  ksreso_
  0.00      5.48     0.00       12     0.00     0.00  sbbdm_
  0.00      5.48     0.00        9     0.00     0.00  ptoe_
  0.00      5.48     0.00        8     0.00     0.00  rrbbar_
  0.00      5.48     0.00        7     0.00     0.00  hifun_
  0.00      5.48     0.00        7     0.00     0.00  m1535_
  0.00      5.48     0.00        7     0.00     0.00  pp2_
  0.00      5.48     0.00        7     0.00     0.00  xkhype_
  0.00      5.48     0.00        7     0.00     0.00  xphib_
  0.00      5.48     0.00        6     0.00     0.00  crrd_
  0.00      5.48     0.00        6     0.00     0.00  x2kaon_
  0.00      5.48     0.00        6     0.00     0.00  xnd_
  0.00      5.48     0.00        5     0.00     0.00  crphim_
  0.00      5.48     0.00        5     0.00     0.00  decay_
  0.00      5.48     0.00        5     0.00     0.00  dkine_
  0.00      5.48     0.00        5     0.00     0.00  fdelta_
  0.00      5.48     0.00        4     0.00     0.00  crlaba_
  0.00      5.48     0.00        4     0.00     0.00  oobbar_
  0.00      5.48     0.00        4     0.00     0.01  pyinit_
  0.00      5.48     0.00        4     0.00     0.00  pyinki_
  0.00      5.48     0.00        4     0.00     0.00  pyinre_
  0.00      5.48     0.00        4     0.00     0.01  pymaxi_
  0.00      5.48     0.00        4     0.00     0.00  pyxtot_
  0.00      5.48     0.00        4     0.00     0.02  vegas_
  0.00      5.48     0.00        3     0.00     0.00  crnd_
  0.00      5.48     0.00        3     0.00     0.00  kaonn_
  0.00      5.48     0.00        3     0.00     0.00  pplpk_
  0.00      5.48     0.00        3     0.00     0.00  xpp_
  0.00      5.48     0.00        2     0.00     0.00  hijwds_
  0.00      5.48     0.00        2     0.00     0.00  index1_
  0.00      5.48     0.00        2     0.00     0.00  init_
  0.00      5.48     0.00        1     0.00     5.48  MAIN__
  0.00      5.48     0.00        1     0.00     0.00  addhad_
  0.00      5.48     0.00        1     0.00     0.00  arindx_
  0.00      5.48     0.00        1     0.00     0.00  arini1_
  0.00      5.48     0.00        1     0.00     0.00  arini_
  0.00      5.48     0.00        1     0.00     0.00  artan1_
  0.00      5.48     0.00        1     0.00     0.00  artan2_
  0.00      5.48     0.00        1     0.00     0.00  artord_
  0.00      5.48     0.00        1     0.00     0.00  artout_
  0.00      5.48     0.00        1     0.00     0.00  artset_
  0.00      5.48     0.00        1     0.00     0.00  coulin_
  0.00      5.48     0.00        1     0.00     0.00  crkn_
  0.00      5.48     0.00        1     0.00     0.00  crkspi_
  0.00      5.48     0.00        1     0.00     0.00  crlan_
  0.00      5.48     0.00        1     0.00     0.00  crpd_
  0.00      5.48     0.00        1     0.00     0.00  crpn_
  0.00      5.48     0.00        1     0.00     0.00  crppba_
  0.00      5.48     0.00        1     0.00     0.07  crsjet_
  0.00      5.48     0.00        1     0.00     0.00  decay2_
  0.00      5.48     0.00        1     0.00     0.00  dkine2_
  0.00      5.48     0.00        1     0.00     0.00  embedhighpt_
  0.00      5.48     0.00        1     0.00     0.00  getnp_
  0.00      5.48     0.00        1     0.00     0.07  hijcrs_
  0.00      5.48     0.00        1     0.00     0.00  hijini_
  0.00      5.48     0.00        1     0.00     0.07  hijset_
  0.00      5.48     0.00        1     0.00     0.00  hjan2a_
  0.00      5.48     0.00        1     0.00     0.00  hjan2b_
  0.00      5.48     0.00        1     0.00     0.00  hjana1_
  0.00      5.48     0.00        1     0.00     0.00  htop_
  0.00      5.48     0.00        1     0.00     0.00  iilist_
  0.00      5.48     0.00        1     0.00     0.00  inian1_
  0.00      5.48     0.00        1     0.00     0.00  inian2_
  0.00      5.48     0.00        1     0.00     0.00  inievt_
  0.00      5.48     0.00        1     0.00     0.00  inipar_
  0.00      5.48     0.00        1     0.00     0.00  inirec_
  0.00      5.48     0.00        1     0.00     0.01  inirun_
  0.00      5.48     0.00        1     0.00     0.00  inizpc_
  0.00      5.48     0.00        1     0.00     0.00  minijet_out_
  0.00      5.48     0.00        1     0.00     0.00  n1535_
  0.00      5.48     0.00        1     0.00     0.00  opioet_
  0.00      5.48     0.00        1     0.00     0.00  pbarfs_
  0.00      5.48     0.00        1     0.00     0.00  pobbar_
  0.00      5.48     0.00        1     0.00     0.00  prbbar_
  0.00      5.48     0.00        1     0.00     0.00  ptor_
  0.00      5.48     0.00        1     0.00     0.00  reab2d_
  0.00      5.48     0.00        1     0.00     0.00  readpa_
  0.00      5.48     0.00        1     0.00     0.00  rmass_
  0.00      5.48     0.00        1     0.00     0.00  rpiret_
  0.00      5.48     0.00        1     0.00     0.00  tablem_
  0.00      5.48     0.00        1     0.00     0.00  title_
  0.00      5.48     0.00        1     0.00     0.00  x2pi_
  0.00      5.48     0.00        1     0.00     0.00  xddin_
  0.00      5.48     0.00        1     0.00     0.00  xnp_
  0.00      5.48     0.00        1     0.00     0.01  zpca2_
  0.00      5.48     0.00        1     0.00     1.63  zpcmn_
  0.00      5.48     0.00        1     0.00     0.00  zpcou1_
  0.00      5.48     0.00        1     0.00     0.00  zpcou_
  0.00      5.48     0.00        1     0.00     0.00  zpstrg_

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2014 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.18% of 5.48 seconds

index % time    self  children    called     name
                0.00    5.48       1/1           main [2]
[1]    100.0    0.00    5.48       1         MAIN__ [1]
                0.05    3.18       1/1           artmn_ [3]
                0.05    2.12       1/1           hijing_ [5]
                0.00    0.07       1/1           hijset_ [34]
                0.01    0.00       1/1           arini2_ [57]
                0.00    0.00       1/1           artset_ [258]
                0.00    0.00       1/1           inizpc_ [279]
                0.00    0.00       1/1           getnp_ [268]
                0.00    0.00       1/1           arini_ [253]
                0.00    0.00       1/1           artan1_ [254]
                0.00    0.00       1/1           artan2_ [255]
                0.00    0.00       1/1           artout_ [257]
-----------------------------------------------
                                                 <spontaneous>
[2]    100.0    0.00    5.48                 main [2]
                0.00    5.48       1/1           MAIN__ [1]
-----------------------------------------------
                0.05    3.18       1/1           MAIN__ [1]
[3]     58.9    0.05    3.18       1         artmn_ [3]
                2.07    0.38     150/150         relcol_ [4]
