 RANTOT :   0.389010996       GSTOT =    0.00000000    
 RANTOT :   0.468518943       GSTOT =    0.00000000    
 RANTOT :   0.722889602       GSTOT =    0.00000000    
 RANTOT :    1.28113568       GSTOT =    2.52957344E-02
 RANTOT :    1.20935082       GSTOT =    0.00000000    
 RANTOT :    1.43388951       GSTOT =    0.00000000    
 RANTOT :   0.527120471       GSTOT =    0.00000000    
 RANTOT :   0.305872649       GSTOT =    0.00000000    
 RANTOT :   0.399903595       GSTOT =    0.00000000    
 RANTOT :    1.49883723       GSTOT =    0.00000000    
 RANTOT :    1.47967410       GSTOT =    0.00000000    
 RANTOT :   0.716095030       GSTOT =    0.00000000    
 RANTOT :   0.215938106       GSTOT =    0.00000000    
 RANTOT :   0.837929726       GSTOT =    0.00000000    
 RANTOT :   0.137735099       GSTOT =    0.00000000    
 RANTOT :   0.972982287       GSTOT =    0.00000000    
 RANTOT :   0.976242602       GSTOT =    0.00000000    
 RANTOT :   0.369687229       GSTOT =    0.00000000    
 RANTOT :   0.652566373       GSTOT =    0.00000000    
 RANTOT :    1.17855740       GSTOT =    0.00000000    
 RANTOT :   0.504914045       GSTOT =    0.00000000    
 RANTOT :   0.292900562       GSTOT =    0.00000000    
 RANTOT :   0.362826586       GSTOT =    0.00000000    
 RANTOT :    1.13121927       GSTOT =    0.00000000    
 RANTOT :    1.21398234       GSTOT =    0.00000000    
 RANTOT :    1.28369904       GSTOT =    0.00000000    
 RANTOT :   0.796509504       GSTOT =    0.00000000    
 RANTOT :   0.137232438       GSTOT =    0.00000000    
 RANTOT :   0.870512128       GSTOT =    0.00000000    
 RANTOT :   0.412168413       GSTOT =    0.00000000    
 RANTOT :   0.676235139       GSTOT =    0.00000000    
 RANTOT :    7.07431808E-02   GSTOT =    0.00000000    
 RANTOT :   0.741669476       GSTOT =    0.00000000    
 RANTOT :   0.434972912       GSTOT =    1.57296658E-02
 RANTOT :   0.526769876       GSTOT =    0.00000000    
 RANTOT :    1.07699847       GSTOT =    0.00000000    
 RANTOT :    1.18678689       GSTOT =    0.00000000    
 RANTOT :   0.723483622       GSTOT =    0.00000000    
