 indx, ityp, x, y, z, t, px, py, pz, e, mass       , vx, vy, vz
      1023        -2   -3.3613   -2.4651   -0.0460    0.1083    0.2588    0.0861   -0.3048    0.4090    0.0056    0.6122    0.6195   -0.4246
       652        -2   -1.8226    2.0926    0.0116    0.1086   -0.8795   -1.4656    0.2913    1.7339    0.0056   -0.4850   -0.8149    0.1064
       651         2   -1.8226    2.0926    0.0116    0.1086   -0.0105   -0.0298   -0.0960    0.1012    0.0056   -0.4850   -0.8149    0.1064
      2339         1    0.0376    0.5893   -0.0808    0.1100   -0.9541    0.6581   -0.8447    1.4343    0.0099   -0.5981    0.2511   -0.7341
      2340        -1    0.0376    0.5893   -0.0808    0.1100   -1.3687    0.3172   -2.0063    2.4493    0.0099   -0.5981    0.2511   -0.7341
      1855         2    1.2361   -1.0062    0.0076    0.1100    0.2174    0.0032    0.2051    0.2989    0.0056    0.9452    0.1191    0.0694
      1856        -1    1.2361   -1.0062    0.0076    0.1100    1.4831    0.2110   -0.0803    1.5002    0.0099    0.9452    0.1191    0.0694
      1440        -3   -2.4506    0.7100   -0.0285    0.1103    1.3549   -0.7967   -0.4064    1.6356    0.1990    0.6206   -0.5229   -0.2588
      1439         2   -2.4506    0.7100   -0.0285    0.1103   -0.1671   -0.2040   -0.0889    0.2784    0.0056    0.6206   -0.5229   -0.2588
       484        -1   -2.3139   -2.6002   -0.0498    0.1114   -0.0666   -0.0869   -0.3400    0.3574    0.0099   -0.2490   -0.7464   -0.4474
       485        -2   -2.3139   -2.6002   -0.0498    0.1114   -0.2018   -0.3954    0.0754    0.4503    0.0056   -0.2490   -0.7464   -0.4474
       486        -1   -2.3139   -2.6002   -0.0498    0.1114   -0.2822   -1.1679   -0.7245    1.4031    0.0099   -0.2490   -0.7464   -0.4474
       846         3   -0.8577   -1.8576    0.0135    0.1141    0.1329    0.3378    0.3662    0.5527    0.1990    0.2226    0.6875    0.1184
       848         1   -0.8577   -1.8576    0.0135    0.1141    0.3361    0.6884   -0.4193    0.8734    0.0099    0.2226    0.6875    0.1184
       847         2   -0.8577   -1.8576    0.0135    0.1141   -0.0792    0.1778    0.2604    0.3252    0.0056    0.2226    0.6875    0.1184
      1792        -3   -3.2273   -0.9161    0.0623    0.1146   -0.9377   -1.0663    0.7063    1.5983    0.1990   -0.5558   -0.5949    0.5437
      1791         1   -3.2273   -0.9161    0.0623    0.1146   -0.4182   -0.3849    0.6200    0.8411    0.0099   -0.5558   -0.5949    0.5437
        76        -3   -2.2990   -3.3614   -0.0128    0.1150    0.5988   -0.2813    0.1439    0.7057    0.1990    0.4259   -0.7166   -0.1114
        75         1   -2.2990   -3.3614   -0.0128    0.1150    0.1396   -0.9612   -0.3371    1.0281    0.0099    0.4259   -0.7166   -0.1114
      2302         2    0.0208    0.6103    0.0147    0.1153    0.0261    0.0351   -0.1960    0.2009    0.0056   -0.7169    0.4220    0.1278
      2303         2    0.0208    0.6103    0.0147    0.1153   -0.9376    0.6477    0.3003    1.1785    0.0056   -0.7169    0.4220    0.1278
      2301         1    0.0208    0.6103    0.0147    0.1153   -0.3342    0.0503    0.1179    0.3581    0.0099   -0.7169    0.4220    0.1278
      2552        -1   -3.1426   -2.7889   -0.0204    0.1167   -0.4521    0.1277    0.2815    0.5478    0.0099   -0.7313    0.4396   -0.1749
      2551         2   -3.1426   -2.7889   -0.0204    0.1167   -0.8216    0.6380   -0.5860    1.1939    0.0056   -0.7313    0.4396   -0.1749
      1287         2   -0.1282    0.1830    0.0376    0.1176    0.0512    0.2027   -0.2328    0.3130    0.0056    0.6952   -0.0665    0.3200
      1286         2   -0.1282    0.1830    0.0376    0.1176    0.6427   -0.1080    0.5509    0.8534    0.0056    0.6952   -0.0665    0.3200
      1288         1   -0.1282    0.1830    0.0376    0.1176    0.6034   -0.2188    0.2790    0.6999    0.0099    0.6952   -0.0665    0.3200
